year,miles,price,brand,color_exterior,color_interior,accidents,number_of_owners
2022,32879.0,24988.0,Toyota,Silver,Unknown,0.0,1.0
2020,37190.0,18998.0,Honda,Blue,Black,0.0,1.0
2020,27496.0,19498.0,Honda,Black,Black,0.0,1.0
2020,29026.0,21000.0,Honda,Silver,Black,1.0,1.0
2019,4148.0,20998.0,Honda,Black,Black,1.0,1.0
2018,57602.0,18887.0,Mercedes-Benz,Blue,Unknown,1.0,3.0
2020,50240.0,19498.0,Honda,Black,Black,1.0,1.0
2013,56766.0,17998.0,BMW,White,Black,0.0,3.0
2018,44099.0,30998.0,Jeep,Gray,Black,0.0,2.0
2020,11140.0,20998.0,Honda,Black,Black,0.0,1.0
2020,8506.0,22597.0,Honda,Gray,Black,0.0,1.0
2021,38760.0,29998.0,Mercedes-Benz,Black,Black,0.0,1.0
2020,27002.0,39998.0,Porsche,White,Black,0.0,2.0
2021,22850.0,21998.0,Honda,White,Black,0.0,1.0
2016,68660.0,17998.0,Buick,White,Beige,1.0,2.0
2014,55079.0,17998.0,BMW,White,Black,0.0,2.0
2017,64337.0,19598.0,Jeep,White,Black,0.0,2.0
2018,83424.0,18285.0,Mercedes-Benz,White,Black,1.0,2.0
2019,61318.0,26998.0,Honda,Black,Brown,0.0,1.0
2020,36064.0,26839.0,Mercedes-Benz,White,Unknown,1.0,1.0
2020,38981.0,26518.0,Mercedes-Benz,Black,Black,1.0,1.0
2022,33632.0,19988.0,Kia,White,Black,0.0,1.0
2021,51560.0,16488.0,Nissan,Gray,Black,0.0,1.0
2020,16112.0,20998.0,Honda,White,Beige,0.0,1.0
2019,17123.0,24498.0,Honda,Gray,Black,1.0,1.0
2016,71406.0,16498.0,Honda,Gray,Gray,1.0,2.0
2022,23215.0,27798.0,Honda,White,Black,0.0,1.0
2021,50142.0,17998.0,Volkswagen,Gray,Black,0.0,1.0
2016,74525.0,20994.0,Land Rover,Black,Beige,1.0,2.0
2021,16462.0,35037.0,Toyota,White,Beige,0.0,1.0
2022,41406.0,15988.0,Kia,Gray,Black,0.0,1.0
2022,33167.0,20222.0,Toyota,White,Black,0.0,1.0
2020,11593.0,20698.0,Honda,Red,Black,0.0,1.0
2015,78479.0,15998.0,BMW,White,Black,0.0,2.0
2015,87121.0,21499.0,Toyota,Gray,Gray,1.0,2.0
2019,58575.0,21788.0,Honda,White,Black,0.0,2.0
2021,34447.0,24498.0,Honda,Black,Black,0.0,1.0
2021,42840.0,28998.0,Honda,White,Black,1.0,1.0
2022,7415.0,26998.0,Nissan,Gray,Black,0.0,1.0
2020,31907.0,28998.0,INFINITI,Blue,Beige,0.0,1.0
2021,34656.0,33998.0,Volvo,Blue,Brown,0.0,1.0
2017,97438.0,21670.0,Honda,Red,Black,0.0,1.0
2017,115951.0,15998.0,Ford,White,Beige,0.0,2.0
2020,108281.0,15998.0,Chevrolet,White,Black,1.0,2.0
2019,67648.0,22999.0,Mercedes-Benz,Black,Black,0.0,2.0
2021,21413.0,42762.0,Mercedes-Benz,Black,Black,0.0,1.0
2013,102479.0,12599.0,Chevrolet,Silver,Black,0.0,5.0
2018,67086.0,24998.0,Jeep,White,Black,0.0,2.0
2023,2414.0,25998.0,Honda,White,Black,0.0,1.0
2022,36517.0,16499.0,Chevrolet,Silver,Black,0.0,1.0
2015,62007.0,29333.0,Mercedes-Benz,Blue,Beige,0.0,2.0
2019,30202.0,26989.0,Volvo,Black,Black,0.0,2.0
2021,12093.0,32998.0,BMW,Black,Black,0.0,1.0
2017,46904.0,25998.0,Mercedes-Benz,White,Black,3.0,3.0
2019,22998.0,39999.0,Mercedes-Benz,Silver,Black,1.0,1.0
2014,84324.0,18481.0,Ford,Silver,Black,1.0,2.0
2022,5335.0,26495.0,Ford,Black,Black,1.0,1.0
2020,53961.0,15999.0,Mitsubishi,Black,Black,0.0,2.0
2021,30252.0,35498.0,Honda,Gray,Unknown,0.0,1.0
2021,37385.0,14999.0,Kia,White,Black,0.0,1.0
2022,27642.0,41998.0,Mercedes-Benz,Gray,Black,0.0,1.0
2017,87358.0,8488.0,Nissan,Gray,Black,1.0,1.0
2021,19914.0,35998.0,Jeep,Gray,Black,0.0,1.0
2017,89932.0,13998.0,Ford,Black,Black,0.0,2.0
2023,19140.0,24575.0,Toyota,White,Unknown,0.0,1.0
